CET,Category ,Chance of Admit ,University Rating
87.91,2,0.72,3
95.88,1,0.73,3
95.88,1,0.71,3
95.88,1,0.71,2
95.88,1,0.68,2
95.88,1,0.75,3
90.76,2,0.72,2
95.88,1,0.89,4
95.88,1,0.84,3
95.88,1,0.93,5
95.88,1,0.93,5
95.88,1,0.88,5
90.76,2,0.9,5
95.88,1,0.87,5
95.88,1,0.86,5
95.88,1,0.94,5
95.88,1,0.77,3
90.76,2,0.78,2
70.79,4,0.73,2
70.79,4,0.73,2
95.88,1,0.7,3
95.88,1,0.72,3
95.88,1,0.73,3
70.79,4,0.72,2
75.87,5,0.97,5
85.43,3,0.97,5
95.88,1,0.69,3
95.88,1,0.57,2
70.79,4,0.63,2
90.76,2,0.66,3
95.88,1,0.64,2
90.76,2,0.68,3
86.09,3,0.79,4
95.88,1,0.82,4
90.76,2,0.95,4
70.79,4,0.96,5
90.76,2,0.94,4
85.43,3,0.93,5
75.87,5,0.91,4
70.79,4,0.85,4
90.76,2,0.84,4
75.87,5,0.74,3
75.87,5,0.76,3
70.79,4,0.75,3
75.87,5,0.76,4
95.88,1,0.71,2
95.88,1,0.67,2
90.76,2,0.61,2
90.76,2,0.63,2
95.88,1,0.64,2
70.79,4,0.71,3
90.76,2,0.82,4
90.76,2,0.73,3
90.76,2,0.74,3
95.88,1,0.69,2
95.88,1,0.64,2
70.79,4,0.91,5
95.88,1,0.88,5
95.88,1,0.85,4
70.79,4,0.86,5
85.43,3,0.7,3
86.09,3,0.59,1
95.88,1,0.6,1
85.43,3,0.65,2
95.88,1,0.7,3
90.76,2,0.76,3
81.66,3,0.63,2
70.79,4,0.81,4
95.88,1,0.72,3
90.76,2,0.71,2
85.43,3,0.8,3
70.79,4,0.77,3
95.88,1,0.74,3
95.88,1,0.7,2
70.79,4,0.71,2
95.88,1,0.93,4
95.88,1,0.85,4
90.76,2,0.79,4
95.88,1,0.76,3
95.88,1,0.78,3
95.88,1,0.77,4
95.88,1,0.9,4
95.88,1,0.87,5
95.88,1,0.71,3
70.79,4,0.7,2
95.88,1,0.7,3
95.88,1,0.75,2
95.88,1,0.71,3
95.88,1,0.72,2
70.79,4,0.73,3
95.88,1,0.83,4
95.88,1,0.77,4
70.79,4,0.72,2
90.76,2,0.54,2
70.79,4,0.49,1
99.61,1,0.52,1
99.61,1,0.58,1
99.61,1,0.78,3
88.76,3,0.89,5
99.61,1,0.7,2
80.2,4,0.66,2
99.61,1,0.67,2
91.34,2,0.68,3
99.61,1,0.8,3
80.2,4,0.81,3
80.2,4,0.8,3
88.76,3,0.94,4
99.61,1,0.93,5
88.76,3,0.92,5
99.61,1,0.89,5
99.61,1,0.82,4
99.61,1,0.79,3
84.99,3,0.58,2
91.34,2,0.56,2
99.61,1,0.56,2
99.61,1,0.64,1
99.61,1,0.61,2
88.9,3,0.68,2
91.34,2,0.76,3
99.61,1,0.86,3
99.61,1,0.9,3
99.61,1,0.71,3
99.61,1,0.62,2
99.61,1,0.66,2
91.34,2,0.65,2
88.9,3,0.73,3
99.61,1,0.62,2
99.61,1,0.74,3
99.61,1,0.79,3
91.34,2,0.8,4
99.61,1,0.69,3
91.34,2,0.7,4
99.61,1,0.76,3
91.34,2,0.84,4
99.61,1,0.78,4
80.2,4,0.67,3
91.34,2,0.66,2
99.61,1,0.65,2
99.61,1,0.54,2
91.34,2,0.58,1
99.61,1,0.79,3
99.61,1,0.8,4
99.61,1,0.75,3
99.61,1,0.73,3
80.2,4,0.72,2
99.61,1,0.62,2
99.61,1,0.67,3
99.61,1,0.81,3
99.61,1,0.63,3
99.61,1,0.69,2
99.61,1,0.8,4
99.61,1,0.43,2
99.61,1,0.8,3
91.34,2,0.73,2
91.34,2,0.75,3
84.99,3,0.71,3
91.34,2,0.73,4
91.34,2,0.83,4
99.61,1,0.72,3
59.19,2,0.94,5
80.2,4,0.81,5
80.2,4,0.81,5
99.61,1,0.75,3
95.11,2,0.79,3
80.53,4,0.58,3
86.85,2,0.59,2
97.61,1,0.47,2
97.61,1,0.49,1
97.61,1,0.47,2
97.61,1,0.42,1
97.61,1,0.57,1
97.61,1,0.62,3
97.61,1,0.74,3
80.53,4,0.73,4
97.61,1,0.64,2
86.76,3,0.63,3
86.76,3,0.59,2
80.53,4,0.73,2
97.61,1,0.79,3
95.11,2,0.68,2
97.61,1,0.7,2
97.61,1,0.81,2
97.61,1,0.85,3
97.61,1,0.93,4
97.61,1,0.91,5
97.61,1,0.69,2
97.61,1,0.77,3
95.11,2,0.86,4
97.61,1,0.74,3
97.61,1,0.57,1
97.61,1,0.51,1
80.53,4,0.67,1
80.53,4,0.72,2
97.61,1,0.89,3
80.53,4,0.95,4
97.61,1,0.79,3
80.53,4,0.39,2
95.11,2,0.38,2
95.11,2,0.34,2
97.61,1,0.47,1
80.53,4,0.56,1
83.67,3,0.71,1
83.67,3,0.78,3
97.61,1,0.73,3
97.61,1,0.82,4
90.87,3,0.62,3
97.61,1,0.96,4
97.61,1,0.96,5
97.61,1,0.46,2
80.53,4,0.53,2
95.11,2,0.49,2
95.11,2,0.76,3
80.53,4,0.64,2
80.53,4,0.71,3
95.11,2,0.84,4
80.53,4,0.77,2
80.53,4,0.89,4
97.61,1,0.82,3
95.11,2,0.84,3
80.53,4,0.91,4
80.53,4,0.67,3
97.61,1,0.95,4
95.11,2,0.67,2
86.76,3,0.61,2
80.53,4,0.63,2
97.61,1,0.64,2
80.53,4,0.71,3
97.61,1,0.82,4
97.61,1,0.73,3
97.61,1,0.74,3
97.61,1,0.69,2
80.53,4,0.64,2
80.53,4,0.91,5
95.11,2,0.88,5
95.11,2,0.85,4
97.61,1,0.86,5
90.87,3,0.7,3
95.11,2,0.59,1
95.11,2,0.6,1
80.53,4,0.65,2
80.53,4,0.7,3
95.11,2,0.76,3
86.76,3,0.63,2
92.11,1,0.81,4
92.11,1,0.72,3
92.11,1,0.71,2
92.11,1,0.8,3
90.97,2,0.77,3
90.97,2,0.74,3
90.97,2,0.7,2
78.76,4,0.71,2
92.11,1,0.93,4
92.11,1,0.85,4
80.39,3,0.79,4
78.76,4,0.76,3
87.65,3,0.78,3
92.11,1,0.77,4
92.11,1,0.9,4
92.11,1,0.87,5
92.11,1,0.71,3
90.67,2,0.7,2
90.97,2,0.7,3
89.31,2,0.75,2
78.76,4,0.71,3
92.11,1,0.72,2
92.11,1,0.73,3
80.39,3,0.83,4
78.76,4,0.77,4
87.65,3,0.72,2
90.97,2,0.54,2
92.11,1,0.49,1
78.76,4,0.52,1
90.97,2,0.58,1
92.11,1,0.78,3
92.11,1,0.89,5
92.11,1,0.7,2
92.11,1,0.66,2
87.65,3,0.67,2
90.97,2,0.68,3
92.11,1,0.8,3
90.97,2,0.81,3
92.11,1,0.8,3
90.97,2,0.94,4
92.11,1,0.93,5
90.97,2,0.92,5
92.11,1,0.89,5
90.97,2,0.82,4
92.11,1,0.79,3
92.11,1,0.58,2
92.11,1,0.56,2
92.11,1,0.56,2
90.97,2,0.64,1
90.97,2,0.61,2
78.76,4,0.68,2
92.11,1,0.76,3
92.11,1,0.86,3
92.11,1,0.9,3
90.97,2,0.71,3
92.11,1,0.62,2
92.11,1,0.66,2
90.97,2,0.65,2
92.11,1,0.73,3
78.76,4,0.62,2
92.11,1,0.74,3
78.76,4,0.79,3
90.97,2,0.8,4
90.97,2,0.69,3
90.97,2,0.7,4
87.65,3,0.76,3
80.39,3,0.84,4
90.97,2,0.78,4
90.97,2,0.67,3
90.97,2,0.66,2
90.97,2,0.65,2
90.97,2,0.54,2
82.52,3,0.58,1
78.76,4,0.79,3
82.52,3,0.8,4
90.97,2,0.75,3
82.05,2,0.73,3
78.76,4,0.72,2
90.97,2,0.62,2
80.39,3,0.67,3
90.97,2,0.81,3
90.97,2,0.63,3
78.76,4,0.69,2
90.97,2,0.8,4
78.76,4,0.43,2
90.97,2,0.8,3
78.76,4,0.73,2
78.76,4,0.75,3
87.65,3,0.71,3
78.76,4,0.73,4
78.76,4,0.83,4
92.11,1,0.72,3
90.97,2,0.94,5
92.11,1,0.81,5
92.11,1,0.81,5
92.11,1,0.75,3
90.97,2,0.79,3
90.97,2,0.58,3
90.97,2,0.59,2
92.11,1,0.47,2
90.97,2,0.49,1
92.11,1,0.47,2
87.65,3,0.42,1
82.52,3,0.57,1
78.76,4,0.62,3
87.53,1,0.74,3
87.53,1,0.73,4
87.53,1,0.64,2
75.75,4,0.63,3
87.53,1,0.59,2
87.53,1,0.73,2
75.75,4,0.79,3
75.75,4,0.68,2
75.75,4,0.7,2
87.53,1,0.81,2
75.75,4,0.85,3
78.87,3,0.93,4
87.53,1,0.91,5
87.53,1,0.69,2
75.75,4,0.77,3
85.21,2,0.86,4
87.53,1,0.74,3
87.53,1,0.57,1
83.65,3,0.51,1
87.53,1,0.67,1
85.21,2,0.72,2
87.53,1,0.89,3
87.53,1,0.95,4
87.53,1,0.79,3
87.53,1,0.39,2
87.53,1,0.38,2
75.75,4,0.34,2
87.53,1,0.47,1
87.53,1,0.56,1
87.53,1,0.71,1
85.21,2,0.78,3
85.21,2,0.73,3
85.21,2,0.82,4
80.8,3,0.62,3
87.53,1,0.96,4
75.75,4,0.96,5
87.53,1,0.46,2
75.75,4,0.53,2
85.21,2,0.49,2
75.75,4,0.76,3
85.21,2,0.64,2
87.53,1,0.71,3
87.53,1,0.84,4
87.53,1,0.77,2
85.21,2,0.89,4
85.21,2,0.82,3
87.53,1,0.84,3
87.53,1,0.91,4
94.4,1,0.67,3
94.4,1,0.95,4
94.4,1,0.63,3
89.93,2,0.62,3
94.4,1,0.64,3
89.93,2,0.7,4
89.93,2,0.94,5
94.4,1,0.95,5
80.78,4,0.97,5
94.4,1,0.94,5
89.93,2,0.76,5
94.4,1,0.44,2
89.93,2,0.46,1
80.78,4,0.54,2
89.93,2,0.65,2
94.4,1,0.74,3
94.4,1,0.91,4
94.4,1,0.9,5
89.93,2,0.94,5
80.78,4,0.88,5
83.89,3,0.64,2
95.2,1,0.58,1
90.88,2,0.52,1
85.88,3,0.48,2
83.83,3,0.46,3
90.88,2,0.49,2
95.2,1,0.53,2
80.93,4,0.87,4
88.44,3,0.91,5
83.83,3,0.88,5
95.2,1,0.86,5
95.2,1,0.89,5
90.88,2,0.82,3
83.83,3,0.78,4
80.93,4,0.76,3
90.88,2,0.56,2
95.2,1,0.78,4
90.88,2,0.72,4
95.2,1,0.7,3
80.93,2,0.64,3
95.2,1,0.64,3
95.2,1,0.46,2
80.93,4,0.36,1
80.93,4,0.42,2
90.88,2,0.48,2
90.88,2,0.47,3
83.83,3,0.54,2
90.88,2,0.56,2
80.93,4,0.52,3
85.88,3,0.55,4
90.88,2,0.61,3
90.88,2,0.57,2
80.93,4,0.68,3
88.44,3,0.78,4
88.44,3,0.94,5
95.88,1,0.96,5
95.88,1,0.93,5
95.88,1,0.84,4
95.88,1,0.74,3
94.75,2,0.72,2
94.75,2,0.74,3
95.88,1,0.64,2
95.88,1,0.44,2
94.42,2,0.46,1
94.75,2,0.5,3
95.88,1,0.96,4
94.75,2,0.92,5
94.75,2,0.92,5
95.88,1,0.94,5
94.75,2,0.76,4
95.88,1,0.72,3
94.75,2,0.66,2
94.75,2,0.64,3
94.75,2,0.74,4
95.88,1,0.64,2
95.88,1,0.38,3
95.88,1,0.34,2
95.88,1,0.44,2
95.88,1,0.36,3
86.93,3,0.42,4
84.91,4,0.48,2
84.91,4,0.86,3
85.87,3,0.9,4
84.91,4,0.79,3
84.91,4,0.71,3
84.91,4,0.64,2
94.75,2,0.62,2
94.75,2,0.57,2
94.75,2,0.74,3
94.75,2,0.69,3
94.75,2,0.87,4
95.88,1,0.91,4
95.88,1,0.93,5
95.88,1,0.68,5
95.88,1,0.61,5
94.75,2,0.69,4
94.75,2,0.62,3
95.88,1,0.72,2
95.88,1,0.59,3
95.88,1,0.66,4
95.88,1,0.56,3
95.88,1,0.45,4
84.91,4,0.47,2
94.75,2,0.71,5
94.75,2,0.94,5
95.88,1,0.94,5
94.75,2,0.57,4
95.88,1,0.61,3
94.75,2,0.57,4
95.88,1,0.64,3
95.88,1,0.85,3
94.75,2,0.78,3
95.88,1,0.84,3
94.75,2,0.92,5
95.88,1,0.96,5
95.88,1,0.77,5
94.75,2,0.71,5
94.75,2,0.79,5
94.75,2,0.89,5
94.75,2,0.82,4
94.75,2,0.76,3
95.88,1,0.71,2
94.75,2,0.8,2
84.91,4,0.78,1
94.75,2,0.84,2
94.75,2,0.9,2
95.88,1,0.92,5
84.91,4,0.97,4
95.88,1,0.8,2
95.88,1,0.81,2
94.75,2,0.75,3
95.88,1,0.83,3
85.87,3,0.96,4
94.75,2,0.79,2
84.91,4,0.93,4
94.75,2,0.94,5
84.91,4,0.86,5
94.75,2,0.79,3
94.75,2,0.8,3
88.88,3,0.77,3
94.75,2,0.7,3
94.75,2,0.65,2
86.93,3,0.61,2
84.91,4,0.52,1
84.91,4,0.57,1
86.93,3,0.53,1
88.88,3,0.67,3
84.91,4,0.68,3
81.42,5,0.81,4
94.75,2,0.78,5
86.93,3,0.65,3
84.91,4,0.64,3
84.91,4,0.64,2
98.88,1,0.65,2
98.88,1,0.68,2
93.67,2,0.89,5
98.88,1,0.86,4
98.88,1,0.89,4
90.87,3,0.87,4
98.88,1,0.85,4
98.88,1,0.9,4
93.67,2,0.82,3
98.88,1,0.72,3
98.88,1,0.73,3
98.88,1,0.71,3
98.88,1,0.71,2
93.67,2,0.68,2
83.23,4,0.75,3
93.67,2,0.72,2
98.88,1,0.89,4
83.01,3,0.84,3
80.8,4,0.93,5
98.88,1,0.93,5
98.88,1,0.88,5
93.67,2,0.9,5
98.88,1,0.87,5
93.67,2,0.86,5
98.88,1,0.94,5
98.88,1,0.77,3
85.76,3,0.78,2
98.88,1,0.73,2
98.88,1,0.73,2
98.88,1,0.7,3
98.88,1,0.72,3
98.88,1,0.73,3
93.67,2,0.72,2
82.28,1,0.97,5
93.67,2,0.97,5
93.67,2,0.69,3
93.67,2,0.57,2
93.67,2,0.63,2
98.88,1,0.66,3
98.88,1,0.64,2
98.88,1,0.68,3
93.67,2,0.79,4
98.88,1,0.82,4
93.67,2,0.95,4
98.88,1,0.96,5
98.88,1,0.94,4
98.88,1,0.93,5
98.88,1,0.91,4
80.8,4,0.85,4
98.88,1,0.84,4
93.67,2,0.74,3
98.88,1,0.76,3
98.88,1,0.75,3
93.67,2,0.76,4
98.88,1,0.71,2
98.88,1,0.67,2
98.88,1,0.61,2
83.83,3,0.63,2
80.8,4,0.64,2
85.76,3,0.71,3
98.88,1,0.82,4
98.88,1,0.73,3
93.67,2,0.74,3
93.67,2,0.69,2
93.67,2,0.64,2
83.83,3,0.91,5
93.67,2,0.88,5
98.88,1,0.85,4
90.87,3,0.86,5
85.76,3,0.7,3
80.8,4,0.59,1
85.76,3,0.6,1
85.76,3,0.65,2
93.67,2,0.7,3
93.67,2,0.76,3
80.8,4,0.63,2
80.28,2,0.81,4
80.8,4,0.72,3
83.83,3,0.71,2
80.8,4,0.8,3
93.67,2,0.77,3
93.67,2,0.74,3
80.8,4,0.7,2
93.67,2,0.71,2
93.67,2,0.93,4
93.67,2,0.85,4
93.67,2,0.79,4
93.67,2,0.76,3
90.87,3,0.78,3
93.67,2,0.73,2
80.8,4,0.73,2
93.67,2,0.7,3
93.67,2,0.72,3
80.8,4,0.73,3
93.67,2,0.72,2
80.8,4,0.97,5
93.67,2,0.97,5
80.8,4,0.69,3
93.67,2,0.57,2
80.8,4,0.63,2
93.67,2,0.66,3
93.67,2,0.64,2
78.7,4,0.68,3
93.67,2,0.79,4
80.8,4,0.82,4
93.67,2,0.95,4
80.8,4,0.96,5
93.67,2,0.94,4
93.67,2,0.93,5
85.76,3,0.91,4
85.76,3,0.85,4
90.87,3,0.84,4
80.8,4,0.74,3
80.8,4,0.76,3
80.8,4,0.75,3
80.8,4,0.76,4
80.8,4,0.71,2
87.65,1,0.67,2
87.65,1,0.61,2
87.65,1,0.63,2
87.65,1,0.64,2
87.65,1,0.71,3
85.98,2,0.82,4
87.65,1,0.73,3
87.65,1,0.74,3
87.65,1,0.69,2
87.65,1,0.64,2
87.65,1,0.91,5
85.98,2,0.88,5
87.65,1,0.85,4
87.65,1,0.86,5
87.65,1,0.7,3
87.65,1,0.59,1
67.93,2,0.6,1
70.32,4,0.65,2
70.32,4,0.7,3
87.65,1,0.76,3
87.65,1,0.63,2
87.65,1,0.81,4
70.32,4,0.72,3
85.76,3,0.71,2
87.65,1,0.8,3
87.65,1,0.77,3
70.32,4,0.74,3
85.98,2,0.7,2
87.65,1,0.71,2
85.98,2,0.93,4
90.87,3,0.85,4
87.65,1,0.79,4
85.98,2,0.76,3
88.58,1,0.78,3
86.79,2,0.77,4
88.58,1,0.9,4
88.58,1,0.87,5
88.58,1,0.71,3
88.58,1,0.7,2
86.79,2,0.7,3
88.58,1,0.75,2
86.79,2,0.71,3
86.79,2,0.72,2
88.58,1,0.73,3
88.58,1,0.83,4
88.58,1,0.77,4
88.58,1,0.72,2
72.63,4,0.54,2
88.58,1,0.49,1
88.58,1,0.52,1
72.63,4,0.58,1
83.83,3,0.78,3
82.87,3,0.89,5
99.99,1,0.7,2
95.95,2,0.66,2
99.99,1,0.67,2
99.99,1,0.68,3
75.9,4,0.8,3
95.95,2,0.81,3
95.95,2,0.8,3
95.95,2,0.94,4
99.99,1,0.93,5
99.99,1,0.92,5
90.99,3,0.89,5
90.99,3,0.82,4
95.95,2,0.79,3
99.99,1,0.58,2
99.99,1,0.56,2
95.95,2,0.56,2
95.95,2,0.64,1
99.99,1,0.61,2
95.95,2,0.68,2
99.99,1,0.76,3
99.99,1,0.86,3
99.99,1,0.9,3
95.95,2,0.71,3
99.99,1,0.62,2
99.99,1,0.66,2
99.99,1,0.65,2
99.99,1,0.73,3
95.95,2,0.62,2
95.95,2,0.74,3
99.99,1,0.79,3
99.99,1,0.8,4
95.95,2,0.69,3
95.95,2,0.7,4
95.95,2,0.76,3
95.95,2,0.84,4
95.95,2,0.78,4
85.76,3,0.67,3
95.95,2,0.66,2
95.95,2,0.65,2
95.95,2,0.54,2
75.9,4,0.58,1
85.76,3,0.79,3
95.95,2,0.8,4
99.99,1,0.75,3
95.95,2,0.73,3
95.95,2,0.72,2
95.95,2,0.62,2
95.95,2,0.67,3
75.9,4,0.81,3
95.95,2,0.63,3
95.95,2,0.69,2
95.95,2,0.8,4
95.95,2,0.43,2
75.9,4,0.8,3
82.87,3,0.73,2
75.9,4,0.75,3
90.99,3,0.71,3
75.9,4,0.73,4
75.9,4,0.83,4
75.9,4,0.72,3
95.95,2,0.94,5
95.95,2,0.81,5
75.9,4,0.81,5
75.9,4,0.75,3
75.9,4,0.79,3
82.87,3,0.58,3
75.9,4,0.59,2
75.9,4,0.47,2
95.95,2,0.49,1
79.1,5,0.47,2
95.95,2,0.42,1
79.1,5,0.57,1
79.1,5,0.62,3
79.1,5,0.74,3
79.1,5,0.73,4
79.1,5,0.64,2
99.99,1,0.63,3
95.95,2,0.59,2
99.99,1,0.73,2
99.99,1,0.79,3
99.99,1,0.68,2
99.99,1,0.7,2
99.99,1,0.81,2
99.99,1,0.85,3
99.99,1,0.93,4
99.99,1,0.91,5
99.99,1,0.69,2
95.95,2,0.77,3
95.95,2,0.86,4
95.95,2,0.74,3
99.99,1,0.57,1
75.9,4,0.51,1
99.99,1,0.67,1
99.99,1,0.72,2
99.99,1,0.89,3
95.95,2,0.95,4
95.95,2,0.79,3
99.99,1,0.39,2
99.99,1,0.38,2
95.95,2,0.34,2
95.95,2,0.47,1
95.95,2,0.56,1
95.95,2,0.71,1
95.95,2,0.78,3
85.76,3,0.73,3
95.95,2,0.82,4
95.95,2,0.62,3
95.95,2,0.96,4
95.95,2,0.96,5
95.95,2,0.46,2
95.95,2,0.53,2
90.99,3,0.49,2
95.95,2,0.76,3
95.95,2,0.64,2
95.95,2,0.71,3
75.9,4,0.84,4
95.95,2,0.77,2
75.9,4,0.89,4
75.9,4,0.82,3
75.9,4,0.84,3
85.76,3,0.91,4
99.99,1,0.67,3
75.9,4,0.95,4
99.99,1,0.67,2
75.9,4,0.61,2
75.9,4,0.63,2
85.76,3,0.64,2
75.9,4,0.71,3
82.87,3,0.82,4
75.9,4,0.73,3
75.9,4,0.74,3
99.99,1,0.69,2
99.99,1,0.64,2
99.99,1,0.91,5
90.99,3,0.88,5
99.99,1,0.85,4
99.99,1,0.86,5
95.95,2,0.7,3
95.95,2,0.59,1
