department,Year,Round1,Round2,Round3,CET,Round1Number,Round2Number,Round3Number,class
2,2022,0.6947,0.6738,0.6738,87.91,67.38,67.38,67.38,2
2,2022,0.6937,0.6711,0.6711,83.55,67.11,67.11,67.11,3
2,2022,0.6895,0.6689,0.6626,87.91,66.89,66.89,66.26,2
2,2022,0.6879,0.6626,0.6563,87.91,66.26,66.26,65.63,2
2,2022,0.6863,0.6421,0.6347,83.55,64.21,64.21,63.47,3
2,2022,0.6705,0.6405,0.634,87.91,64.05,64.05,63.4,2
2,2022,0.6689,0.6347,0.6069,75.22,63.47,63.47,60.69,4
2,2022,0.6626,0.634,0.6053,85.4,63.4,63.4,60.53,3
2,2022,0.6621,0.6097,0.6626,87.91,60.97,60.97,66.26,2
2,2022,0.6565,0.6053,0.6563,80.45,60.53,60.53,65.63,3
2,2022,0.6421,0.6689,0.6421,75.22,66.89,66.89,64.21,4
2,2022,0.634,0.6626,0.6347,75.22,66.26,66.26,63.47,4
2,2022,0.6332,0.6621,0.634,83.55,66.21,66.21,63.4,3
2,2022,0.6176,0.6421,0.6069,75.22,64.21,64.21,60.69,4
2,2022,0.6053,0.6405,0.6053,87.91,64.05,64.05,60.53,2
2,2022,0.8258,0.8137,0.8137,95.88,81.37,81.37,81.37,1
2,2022,0.8216,0.7921,0.8111,95.88,79.21,79.21,81.11,1
2,2022,0.8153,0.7874,0.7921,95.88,78.74,78.74,79.21,1
2,2022,0.8137,0.7842,0.7874,95.88,78.42,78.42,78.74,1
2,2022,0.7921,0.7789,0.7789,95.88,77.89,77.89,77.89,1
2,2022,0.7874,0.7721,0.7726,90.76,77.21,77.21,77.26,2
2,2022,0.7863,0.7668,0.7721,95.88,76.68,76.68,77.21,1
2,2022,0.7832,0.7632,0.7668,95.88,76.32,76.32,76.68,1
2,2022,0.7826,0.75,0.7663,95.88,75,75,76.63,1
2,2022,0.7721,0.75,0.75,95.88,75,75,75,1
2,2022,0.7668,0.7258,0.75,95.88,72.58,72.58,75,1
2,2022,0.7663,0.7189,0.7258,90.76,71.89,71.89,72.58,2
2,2022,0.7542,0.7063,0.7189,95.88,70.63,70.63,71.89,1
2,2022,0.75,0.7058,0.7095,95.88,70.58,70.58,70.95,1
2,2022,0.75,0.6984,0.7063,95.88,69.84,69.84,70.63,1
2,2022,0.75,0.6968,0.7058,95.88,69.68,69.68,70.58,1
2,2022,0.7389,0.6958,0.6968,90.76,69.58,69.58,69.68,2
2,2022,0.7363,0.6937,0.6937,70.79,69.37,69.37,69.37,4
2,2022,0.7321,0.6911,0.6916,70.79,69.11,69.11,69.16,4
2,2022,0.7221,0.6895,0.6911,95.88,68.95,68.95,69.11,1
2,2022,0.7179,0.6832,0.6895,95.88,68.32,68.32,68.95,1
2,2022,0.7074,0.6742,0.6832,95.88,67.42,67.42,68.32,1
2,2022,0.7063,0.6737,0.6742,70.79,67.37,67.37,67.42,4
2,2022,0.7058,0.6721,0.6737,75.87,67.21,67.21,67.37,5
2,2022,0.7026,0.6716,0.6721,85.43,67.16,67.16,67.21,3
2,2022,0.7021,0.67,0.6716,95.88,67,67,67.16,1
2,2022,0.7,0.6689,0.6689,95.88,66.89,66.89,66.89,1
2,2022,0.6963,0.6684,0.6684,70.79,66.84,66.84,66.84,4
2,2022,0.6937,0.6663,0.6663,90.76,66.63,66.63,66.63,2
2,2022,0.6916,0.6453,0.6453,95.88,64.53,64.53,64.53,1
2,2022,0.6911,0.6206,0.6316,90.76,62.06,62.06,63.16,2
2,2022,0.6905,0.6115,0.6206,86.09,61.15,61.15,62.06,3
2,2022,0.6832,0.5795,0.6115,95.88,57.95,57.95,61.15,1
2,2022,0.68,0.4758,0.5795,90.76,47.58,47.58,57.95,2
2,2022,0.6737,0.6684,0.4758,70.79,66.84,66.84,47.58,4
2,2022,0.6716,0.6663,0.67,90.76,66.63,66.63,67,2
2,2022,0.6663,0.6453,0.6689,85.43,64.53,64.53,66.89,3
2,2022,0.6653,0.6316,0.6684,75.87,63.16,63.16,66.84,5
2,2022,0.6647,0.6206,0.6663,70.79,62.06,62.06,66.63,4
2,2022,0.6532,0.6115,0.6453,90.76,61.15,61.15,64.53,2
2,2022,0.6206,0.5795,0.6206,75.87,57.95,57.95,62.06,5
2,2022,0.6115,0.4758,0.6115,75.87,47.58,47.58,61.15,5
2,2022,0.6007,0.6206,0.5795,70.79,62.06,62.06,57.95,4
2,2022,0.4758,0.6115,0.4758,75.87,61.15,61.15,47.58,5
1,2022,0.9029,0.8874,0.8874,95.88,88.74,88.74,88.74,1
1,2022,0.8967,0.8869,0.8869,95.88,88.69,88.69,88.69,1
1,2022,0.8891,0.884,0.884,90.76,88.4,88.4,88.4,2
1,2022,0.8874,0.8811,0.8811,90.76,88.11,88.11,88.11,2
1,2022,0.8869,0.8806,0.8806,95.88,88.06,88.06,88.06,1
1,2022,0.8863,0.8783,0.8783,70.79,87.83,87.83,87.83,4
1,2022,0.8811,0.8783,0.8783,90.76,87.83,87.83,87.83,2
1,2022,0.8806,0.8694,0.8766,90.76,86.94,86.94,87.66,2
1,2022,0.8794,0.8691,0.8694,90.76,86.91,86.91,86.94,2
1,2022,0.8753,0.868,0.8691,95.88,86.8,86.8,86.91,1
1,2022,0.865,0.868,0.868,95.88,86.8,86.8,86.8,1
1,2022,0.8629,0.8667,0.868,70.79,86.67,86.67,86.8,4
1,2022,0.8617,0.8646,0.8667,95.88,86.46,86.46,86.67,1
1,2022,0.8594,0.8629,0.8629,95.88,86.29,86.29,86.29,1
1,2022,0.8474,0.8623,0.8623,70.79,86.23,86.23,86.23,4
1,2022,0.8423,0.8423,0.8423,85.43,84.23,84.23,84.23,3
1,2022,0.8309,0.8309,0.8309,86.09,83.09,83.09,83.09,3
1,2022,0.8223,0.8423,0.8629,95.88,84.23,84.23,86.29,1
3,2022,0.8379,0.8379,0.8379,85.43,83.79,83.79,83.79,3
3,2022,0.8138,0.8138,0.8138,95.88,81.38,81.38,81.38,1
3,2022,0.7985,0.7985,0.7985,90.76,79.85,79.85,79.85,2
3,2022,0.7856,0.7856,0.7974,81.66,78.56,78.56,79.74,3
3,2022,0.775,0.761,0.7856,70.79,76.1,76.1,78.56,4
3,2022,0.7692,0.7544,0.761,95.88,75.44,75.44,76.1,1
3,2022,0.761,0.7528,0.7544,90.76,75.28,75.28,75.44,2
3,2022,0.7544,0.7462,0.7528,85.43,74.62,74.62,75.28,3
3,2022,0.7528,0.7385,0.7528,70.79,73.85,73.85,75.28,4
3,2022,0.7497,0.7379,0.7462,95.88,73.79,73.79,74.62,1
3,2022,0.7497,0.7357,0.7357,95.88,73.57,73.57,73.57,1
3,2022,0.7462,0.7349,0.7349,70.79,73.49,73.49,73.49,4
3,2022,0.74,0.7276,0.7293,95.88,72.76,72.76,72.93,1
3,2022,0.7385,0.7195,0.7276,95.88,71.95,71.95,72.76,1
3,2022,0.7379,0.7135,0.7246,90.76,71.35,71.35,72.46,2
3,2022,0.7357,0.7128,0.7135,95.88,71.28,71.28,71.35,1
3,2022,0.7349,0.7108,0.7128,95.88,71.08,71.08,71.28,1
3,2022,0.7313,0.7036,0.7118,95.88,70.36,70.36,71.18,1
3,2022,0.7308,0.699,0.7036,95.88,69.9,69.9,70.36,1
3,2022,0.7293,0.6886,0.699,95.88,68.86,68.86,69.9,1
3,2022,0.7195,0.6876,0.6886,95.88,68.76,68.76,68.86,1
3,2022,0.7135,0.6821,0.6876,70.79,68.21,68.21,68.76,4
3,2022,0.7128,0.6621,0.6621,95.88,66.21,66.21,66.21,1
3,2022,0.7103,0.659,0.6465,95.88,65.9,65.9,64.65,1
3,2022,0.7092,0.6579,0.6379,95.88,65.79,65.79,63.79,1
3,2022,0.7051,0.6465,0.5229,95.88,64.65,64.65,52.29,1
3,2022,0.7036,0.6876,0.7126,70.79,68.76,68.76,71.26,4
3,2022,0.699,0.6821,0.6886,95.88,68.21,68.21,68.86,1
3,2022,0.6886,0.6621,0.6876,95.88,66.21,66.21,68.76,1
3,2022,0.6579,0.659,0.6621,70.79,65.9,65.9,66.21,4
3,2022,0.6569,0.6579,0.6465,90.76,65.79,65.79,64.65,2
3,2022,0.6465,0.6465,0.6379,70.79,64.65,64.65,63.79,4
2,2022,0.8609,0.8387,0.8387,99.61,83.87,83.87,83.87,1
2,2022,0.8474,0.815,0.815,99.61,81.5,81.5,81.5,1
2,2022,0.8469,0.8126,0.8126,99.61,81.26,81.26,81.26,1
2,2022,0.8387,0.8026,0.8026,88.76,80.26,80.26,80.26,3
2,2022,0.815,0.7974,0.7921,99.61,79.74,79.74,79.21,1
2,2022,0.8126,0.7921,0.7842,80.2,79.21,79.21,78.42,4
2,2022,0.8072,0.7842,0.7832,99.61,78.42,78.42,78.32,1
2,2022,0.8016,0.7832,0.7813,91.34,78.32,78.32,78.13,2
2,2022,0.8016,0.7711,0.7711,99.61,77.11,77.11,77.11,1
2,2022,0.801,0.7647,0.7632,80.2,76.47,76.47,76.32,4
2,2022,0.7979,0.75,0.7613,80.2,75,75,76.13,4
2,2022,0.7974,0.75,0.7511,88.76,75,75,75.11,3
2,2022,0.7921,0.7411,0.75,99.61,74.11,74.11,75,1
2,2022,0.7842,0.7347,0.75,88.76,73.47,73.47,75,3
2,2022,0.7832,0.7332,0.7442,99.61,73.32,73.32,74.42,1
2,2022,0.7826,0.7326,0.7411,99.61,73.26,73.26,74.11,1
2,2022,0.7821,0.7305,0.7368,99.61,73.05,73.05,73.68,1
2,2022,0.7779,0.7274,0.7347,84.99,72.74,72.74,73.47,3
2,2022,0.7711,0.7242,0.7332,91.34,72.42,72.42,73.32,2
2,2022,0.7632,0.7232,0.7326,99.61,72.32,72.32,73.26,1
2,2022,0.7611,0.7164,0.7305,99.61,71.64,71.64,73.05,1
2,2022,0.7568,0.7121,0.7274,99.61,71.21,71.21,72.74,1
2,2022,0.7511,0.7068,0.7218,88.9,70.68,70.68,72.18,3
2,2022,0.75,0.7011,0.7164,91.34,70.11,70.11,71.64,2
2,2022,0.75,0.7011,0.7088,99.61,70.11,70.11,70.88,1
2,2022,0.7433,0.6916,0.7074,99.61,69.16,69.16,70.74,1
2,2022,0.7394,0.6916,0.7011,99.61,69.16,69.16,70.11,1
2,2022,0.7368,0.69,0.6916,99.61,69,69,69.16,1
2,2022,0.7326,0.6895,0.69,99.61,68.95,68.95,69,1
2,2022,0.7305,0.6816,0.6895,91.34,68.16,68.16,68.95,2
2,2022,0.7274,0.68,0.6816,88.9,68,68,68.16,3
2,2022,0.7232,0.679,0.679,99.61,67.9,67.9,67.9,1
2,2022,0.7218,0.6738,0.6753,99.61,67.38,67.38,67.53,1
2,2022,0.7205,0.67,0.6738,99.61,67,67,67.38,1
2,2022,0.7168,0.67,0.67,91.34,67,67,67,2
2,2022,0.7168,0.6659,0.6674,99.61,66.59,66.59,66.74,1
2,2022,0.7142,0.6612,0.6659,91.34,66.12,66.12,66.59,2
2,2022,0.71,0.6537,0.6612,99.61,65.37,65.37,66.12,1
2,2022,0.7089,0.6289,0.6574,91.34,62.89,62.89,65.74,2
2,2022,0.7074,0.6237,0.6411,99.61,62.37,62.37,64.11,1
2,2022,0.7068,0.6118,0.6349,80.2,61.18,61.18,63.49,4
2,2022,0.6958,0.5836,0.6118,91.34,58.36,58.36,61.18,2
2,2022,0.6926,0.575,0.6007,99.61,57.5,57.5,60.07,1
2,2022,0.6916,0.5545,0.6,99.61,55.45,55.45,60,1
2,2022,0.69,0.5537,0.5836,91.34,55.37,55.37,58.36,2
2,2022,0.6895,0.5295,0.5805,99.61,52.95,52.95,58.05,1
2,2022,0.6874,0.6916,0.7074,99.61,69.16,69.16,70.74,1
2,2022,0.6868,0.6916,0.7011,99.61,69.16,69.16,70.11,1
2,2022,0.6816,0.69,0.6916,99.61,69,69,69.16,1
2,2022,0.6816,0.69,0.69,80.2,69,69,69,4
2,2022,0.6742,0.6816,0.6895,99.61,68.16,68.16,68.95,1
2,2022,0.6738,0.68,0.6816,99.61,68,68,68.16,1
2,2022,0.6732,0.679,0.679,99.61,67.9,67.9,67.9,1
2,2022,0.67,0.6738,0.6753,99.61,67.38,67.38,67.53,1
2,2022,0.67,0.67,0.6738,99.61,67,67,67.38,1
2,2022,0.6659,0.67,0.67,99.61,67,67,67,1
2,2022,0.6647,0.6659,0.6674,99.61,66.59,66.59,66.74,1
2,2022,0.6612,0.6612,0.6659,99.61,66.12,66.12,66.59,1
2,2022,0.6568,0.6537,0.6612,91.34,65.37,65.37,66.12,2
2,2022,0.6405,0.6289,0.6574,91.34,62.89,62.89,65.74,2
2,2022,0.6189,0.6237,0.6411,84.99,62.37,62.37,64.11,3
2,2022,0.6118,0.6118,0.6349,91.34,61.18,61.18,63.49,2
2,2022,0.6,0.6,0.6289,91.34,60,60,62.89,2
2,2022,0.6,0.5836,0.6118,99.61,58.36,58.36,61.18,1
2,2022,0.6,0.575,0.6007,59.19,57.5,57.5,60.07,2
2,2022,0.575,0.5545,0.6,80.2,55.45,55.45,60,4
2,2022,0.5545,0.5537,0.5836,80.2,55.37,55.37,58.36,4
2,2022,0.5468,0.5295,0.5805,99.61,52.95,52.95,58.05,1
2,2022,0.9511,0.9511,0.9511,95.11,95.11,95.11,95.11,2
2,2022,0.9084,0.9084,0.9084,80.53,90.84,90.84,90.84,4
2,2022,0.8879,0.8588,0.8588,86.85,85.88,85.88,85.88,2
2,2022,0.8721,0.8584,0.8584,97.61,85.84,85.84,85.84,1
2,2022,0.8588,0.8553,0.8553,97.61,85.53,85.53,85.53,1
2,2022,0.8553,0.8511,0.8511,97.61,85.11,85.11,85.11,1
2,2022,0.8511,0.845,0.845,97.61,84.5,84.5,84.5,1
2,2022,0.845,0.8395,0.8353,97.61,83.95,83.95,83.53,1
2,2022,0.8389,0.8353,0.8345,97.61,83.53,83.53,83.45,1
2,2022,0.8353,0.8345,0.8327,97.61,83.45,83.45,83.27,1
2,2022,0.8327,0.8258,0.82,80.53,82.58,82.58,82,4
2,2022,0.83,0.82,0.82,97.61,82,82,82,1
2,2022,0.82,0.8163,0.8163,86.76,81.63,81.63,81.63,3
2,2022,0.8132,0.8132,0.8132,86.76,81.32,81.32,81.32,3
2,2022,0.8053,0.8053,0.8053,80.53,80.53,80.53,80.53,4
2,2022,0.7979,0.8042,0.7953,97.61,80.42,80.42,79.53,1
2,2022,0.7932,0.7926,0.7926,95.11,79.26,79.26,79.26,2
2,2022,0.7932,0.79,0.79,97.61,79,79,79,1
2,2022,0.7916,0.782,0.7863,97.61,78.2,78.2,78.63,1
2,2022,0.79,0.78,0.782,97.61,78,78,78.2,1
2,2022,0.7863,0.7789,0.78,97.61,77.89,77.89,78,1
2,2022,0.7816,0.7763,0.7789,97.61,77.63,77.63,77.89,1
2,2022,0.78,0.7745,0.7763,97.61,77.45,77.45,77.63,1
2,2022,0.7789,0.7721,0.7745,97.61,77.21,77.21,77.45,1
2,2022,0.7763,0.7637,0.7721,95.11,76.37,76.37,77.21,2
2,2022,0.7745,0.7632,0.7637,97.61,76.32,76.32,76.37,1
2,2022,0.7637,0.7616,0.7618,97.61,76.16,76.16,76.18,1
2,2022,0.7632,0.7595,0.7616,97.61,75.95,75.95,76.16,1
2,2022,0.7618,0.7589,0.7595,80.53,75.89,75.89,75.95,4
2,2022,0.7616,0.7574,0.7589,80.53,75.74,75.74,75.89,4
2,2022,0.7595,0.7568,0.7574,97.61,75.68,75.68,75.74,1
2,2022,0.7589,0.7521,0.7568,80.53,75.21,75.21,75.68,4
2,2022,0.7589,0.7521,0.7521,97.61,75.21,75.21,75.21,1
